,base_market,quote_market,hedge_ratio,half_life
0,SOL-USD,ETC-USD,4.119487242510313,21.0
1,AAVE-USD,COMP-USD,1.5830034538783475,7.0
2,AAVE-USD,TRX-USD,706.7009170225463,13.0
3,AAVE-USD,CRV-USD,176.66431499588455,12.0
4,AAVE-USD,SUSHI-USD,76.46098561897274,19.0
5,AAVE-USD,XLM-USD,793.8866232927201,19.0
6,ETC-USD,XTZ-USD,25.129911109897336,10.0
7,ETC-USD,YFI-USD,0.003475628450205139,10.0
8,ETC-USD,1INCH-USD,60.8051136775281,20.0
9,ETC-USD,ATOM-USD,2.641732166534019,16.0
10,XTZ-USD,YFI-USD,0.0001383000702429472,4.0
11,XTZ-USD,ALGO-USD,5.890220145451718,24.0
12,XTZ-USD,DOT-USD,0.14236208636484135,17.0
13,XTZ-USD,1INCH-USD,2.4198480770107507,10.0
14,XTZ-USD,ATOM-USD,0.10513725110655196,11.0
15,LINK-USD,BCH-USD,0.07465240630627791,5.0
16,YFI-USD,ALGO-USD,42587.3737962395,24.0
17,YFI-USD,CRV-USD,14784.265825871842,15.0
18,YFI-USD,DOT-USD,1029.3104592396144,24.0
19,YFI-USD,1INCH-USD,17495.95406820911,10.0
20,YFI-USD,ENJ-USD,24475.118178170655,18.0
21,YFI-USD,ATOM-USD,760.12327666327,11.0
22,DOGE-USD,COMP-USD,0.0014583208500314484,13.0
23,DOGE-USD,TRX-USD,0.6510261591568229,22.0
24,DOGE-USD,CRV-USD,0.16274853476823112,16.0
25,DOGE-USD,CELO-USD,0.11349364984345833,17.0
26,DOGE-USD,1INCH-USD,0.1925923273443538,15.0
27,DOGE-USD,ENJ-USD,0.269412705097056,20.0
28,DOGE-USD,XLM-USD,0.7314962123123132,11.0
29,DOGE-USD,EOS-USD,0.11075916030917758,7.0
30,MKR-USD,COMP-USD,36.20307972052272,8.0
31,MKR-USD,ICP-USD,154.92585812601268,7.0
32,COMP-USD,ALGO-USD,321.38347684137483,21.0
33,COMP-USD,CRV-USD,111.58530910581845,10.0
34,COMP-USD,NEAR-USD,17.996201752085362,22.0
35,COMP-USD,ENJ-USD,184.71734836229473,13.0
36,COMP-USD,ZRX-USD,171.58394877417265,7.0
37,COMP-USD,SUSHI-USD,48.29186668811183,19.0
38,COMP-USD,XLM-USD,501.4000615803354,19.0
39,COMP-USD,EOS-USD,75.92627176575824,11.0
40,ICP-USD,XLM-USD,117.15712655155251,14.0
41,ALGO-USD,TRX-USD,1.3836272857569454,18.0
42,ALGO-USD,CRV-USD,0.346044549674405,12.0
43,ALGO-USD,NEAR-USD,0.055854297880318184,9.0
44,ALGO-USD,DOT-USD,0.024090888386069997,13.0
45,ALGO-USD,CELO-USD,0.24119206705352236,18.0
46,ALGO-USD,1INCH-USD,0.40930651439942,19.0
47,ALGO-USD,ADA-USD,0.3162111972168044,8.0
48,ALGO-USD,ZRX-USD,0.5314632039345057,23.0
49,ALGO-USD,SUSHI-USD,0.1497790716052753,14.0
50,ALGO-USD,SNX-USD,0.050379156979699566,10.0
51,ALGO-USD,UNI-USD,0.025730676045006697,10.0
52,ALGO-USD,ATOM-USD,0.0177911979884452,13.0
53,FIL-USD,MATIC-USD,6.493665649939425,7.0
54,FIL-USD,TRX-USD,44.37659718163769,7.0
55,FIL-USD,ZRX-USD,17.04818951018929,8.0
56,TRX-USD,CRV-USD,0.24993200003623542,10.0
57,TRX-USD,ZRX-USD,0.38425694997702076,13.0
58,TRX-USD,EOS-USD,0.170031556453397,18.0
59,CRV-USD,NEAR-USD,0.16129916555098991,10.0
60,CRV-USD,DOT-USD,0.06959997247843705,7.0
61,CRV-USD,CELO-USD,0.6971057872642508,7.0
62,CRV-USD,1INCH-USD,1.182895520972508,7.0
63,CRV-USD,ADA-USD,0.9127551865663028,20.0
64,CRV-USD,ENJ-USD,1.6551249334987574,5.0
65,CRV-USD,SUSHI-USD,0.43270413490217274,8.0
66,CRV-USD,SNX-USD,0.1454792810350025,8.0
67,CRV-USD,EOS-USD,0.6800012054532169,16.0
68,NEAR-USD,BTC-USD,6.509781614444359e-05,6.0
69,NEAR-USD,SNX-USD,0.901562679577753,6.0
70,DOT-USD,BTC-USD,0.0001508847932162316,10.0
71,DOT-USD,1INCH-USD,16.993460708045124,5.0
72,DOT-USD,ADA-USD,13.114047263371244,22.0
73,DOT-USD,ENJ-USD,23.777554157744692,5.0
74,DOT-USD,SUSHI-USD,6.216127332307033,7.0
75,DOT-USD,SNX-USD,2.089860823331968,8.0
76,DOT-USD,EOS-USD,9.768196162649753,24.0
77,DOT-USD,ATOM-USD,0.7383490556682348,6.0
78,BTC-USD,1INCH-USD,112534.53519427344,16.0
79,BTC-USD,ENJ-USD,157499.87681156874,7.0
80,CELO-USD,SNX-USD,0.20864165193945425,17.0
81,CELO-USD,ATOM-USD,0.07371584946707421,10.0
82,1INCH-USD,ENJ-USD,1.3990274457413292,6.0
83,1INCH-USD,SUSHI-USD,0.36574625214364664,11.0
84,1INCH-USD,ATOM-USD,0.04344560109153538,7.0
85,ADA-USD,SUSHI-USD,0.4736612837903549,22.0
86,ENJ-USD,SUSHI-USD,0.2613810344415426,5.0
87,ENJ-USD,EOS-USD,0.4106756918478104,21.0
88,XLM-USD,EOS-USD,0.1513953465010597,13.0
